place_type,place_name,link_name,condo_link
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/property-code-cs08-229-chewathai-residence-asoke-type-1-bedroom-1-bathroom-32-99-sq-m-floor-12a-sale-5-990-000-baht---3900936
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/tqs08-2163-urgent-sale-supalai-premier-asoke---3901120
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/tqs08-2162-quick-sale-ideo-phaholyothin-chatujak---3901125
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/tqs08-2169-urgent-sale-wire-ratchada-19---3902595
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/tqs08-2183-urgent-sale-ideo-q-siam-ratchathewi---3903789
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/tqs08-2182-quick-sale-chapter-one-eco-ratchada-huai-khwang---3903790
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/tqs08-2189-urgent-sale-life-asoke---3904568
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/property-code-cs08-265-supalai-veranda-rama-9-1-bedroom-1-bathroom-43-sq-m-23rd-floor-selling-for-4-199-000-baht---3905689
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/tqs08-2195-urgent-sale-ratchada-city-18---3906004
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/property-code-cs08-134-xt-phayathai-1-bedroom-1-bathroom-42-02-sq-m-16th-floor-sale-6-298-000-baht-add-line-0807811871-khun-on---3883510
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/property-code-cs08-130-grand-park-view-asoke-3-bedrooms-2-bathrooms-100-61-sq-m-floor-sale-9-500-000-baht-add-line-0807811871-khun-on---3883529
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/life-one-wireless-property-code-tqs08-2060---3883888
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/property-code-cs08-145-xt-huaikhwang-type-1-bedroom-1-bathroom-29-92-sq-m-floor-12a-sale-4-590-000-baht-add-line-0807811871-khun-on---3886626
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/urgent-sale-rhythm-ratchada-property-code-tqs08-2083---3887377
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/tqs08-2085-urgent-sale-life-ratchadapisek---3889315
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/tqs08-2099-urgent-sale-rhythm-phahol-ari---3890824
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/property-code-cs08-185-ideo-phaholyothin-chatujak-type-1-bedroom-1-bathroom-34-5-sq-m-23rd-floor-sale-6-500-000-baht-add-line-0807811871-khun-on---3893977
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/tqs08-2115-urgent-sale-asher-ratchada-huai-khwang---3894226
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/tqs08-2113-urgent-sale-ideo-phaholyothin-chatujak---3894241
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/tqs08-2123-urgent-sale-q-chidlom-phetchaburi---3894515
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/property-code-cs08-205-artisan-ratchada-type-1-bedroom-1-bathroom-44-5-sq-m-27th-floor-sale-4-490-000-baht---3895620
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/property-code-cs08-212-life-one-wireless-type-1-bedroom-1-bathroom-28-sq-m-18th-floor-sale-5-190-000-baht---3897267
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/property-code-cs08-208-lumpini-ville-latphrao-chokchai-4-type-1-bedroom-1-bathroom-28-70-sq-m-4th-floor-sale-2-390-000-baht---3897278
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/property-code-cs08-216-t-c-green-type-1-bedroom-1-bathroom-40-sq-m-20th-floor-sale-3-750-000-baht---3898770
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/property-code-cs08-231-t-c-green-type-1-bedroom-1-bathroom-29-sq-m-32nd-floor-sale-2-390-000-baht---3900925
