46.7s 1 curl: /opt/conda/lib/libcurl.so.4: no version information available (required by curl)
86.3s 2 Google Chrome 114.0.5735.198
87.4s 3 ChromeDriver 114.0.5735.90 (386bc09e8f4f2e025eddae123f36f6263096ae49-refs/branch-heads/5735@{#1052})
88.1s 4 Data imported Project: 1664 records
89.2s 5 Web driver is set up
97.5s 6 1st lat and lon adjustments are calculated
113.5s 7 2nd lat and lon adjustments are calculated
113.5s 8 Start scraping geocodes ...
113.5s 9 ------------------------------
2635.7s 231 Done 221: (13.862275732432392,100.6129690259578) Baan Eua Ar Thorn Raminthra (Khu Bon), Bang Khen Bangkok
2641.0s 232 Done 222: (14.028168032432392,100.6635993259578) Baan Eua Ar Thorn Rom Klao, Lat Krabang Bangkok
2675.8s 233 Done 223: (13.804718971066452,100.2799296928716) Baan Eua Ar Thorn Suvarnabhumi 2 (Bangna), Prakarn
2680.8s 234 Done 224: (13.921478032432393,100.6545993259578) Baan Eua Arthorn Saimai, Sai Mai Bangkok
2686.3s 235 Done 225: (12.920910932432392,100.7872326259578) Baan I-Talay, Muang Chon Buri Chonburi
2691.4s 236 Done 226: (12.528797432432393,99.9680650259578) Baan Imm Aim Hua Hin, Hua Hin Prachaubkirikhan
2706.2s 237 Done 227: (18.747227471066452,99.03409969287159) Baan Karnkanok 3, Muang Chiang Mai Chiang Mai
2711.9s 238 Done 228: (13.748638632432392,100.5295734259578) Baan Kasemsan 1, Pathum Wan Bangkok
2717.4s 239 Done 229: (12.537240732432393,99.9588127259578) Baan Kiang Fah, Hua Hin Prachaubkirikhan
2723.4s 240 Done 230: (13.752033632432392,100.5328066259578) Baan Klang Krung Siam - Pathumwan, Ratchathewi Bangkok
2799.2s 241 Done 231: (13.713254432432393,100.5857908259578) Baan Kluai Nam Condo, Khlong Toei Bangkok
