project_id,project_name,address,ceiling_height,completed_on,no_building,no_floor,total_units,utility_fee,bicycle_parking,cctv,convenience_store,fingerprint_access_control,fitness,jacuzzi,keycard_access_control,kids_playground,library,lift,massage_room,park_bbq_areas,parking,restaurant,sauna,security,shuttle_service,steam_room,swimming_pool,wifi,lat,lon,gg_address,province,district
272,Baan Sindhorn,Pathum Wan Bangkok,3 m.,,1.0,8.0,32.0,,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,1,1,1,0,13.73826277106645,100.5434482928716,"89 Soi Langsuan, ลุมพินี Pathum Wan, Bangkok 10330, Thailand",Bangkok,Pathum Wan
273,Baan Siri 24,Khlong Toei Bangkok,,2007.0,1.0,34.0,150.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.726191632432393,100.5679407259578,"39 Sukhumvit 24 Alley, Khlong Tan, Khlong Toei, Bangkok 10110, Thailand",Bangkok,Khlong Toei
274,Baan Siri 31,Watthana Bangkok,,2007.0,1.0,24.0,180.0,40.0,0,1,0,0,1,0,0,0,1,1,0,1,1,0,1,1,0,1,1,1,13.737881732432392,100.5663366259578,"บ้านเลขที่ 47 ถนน สุขุมวิท 31 Soi Sawatdi, Khlong Toei Nuea, Watthana, Bangkok 10110, Thailand",Bangkok,Watthana
275,Baan Siri Ruedee,Pathum Wan Bangkok,,2005.0,1.0,8.0,68.0,,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,13.741228832432393,100.5497257259578,"7 Soi Ruamrudee Community, Lumphini, Pathum Wan, Bangkok 10330, Thailand",Bangkok,Pathum Wan
276,Baan Siri Sathon Suanplu,Sathon Bangkok,,,1.0,8.0,75.0,,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,13.708731132432392,100.5382077259578,"33/1-75 Nang Linchi 4 Alley, Thung Maha Mek, Sathon, Bangkok 10120, Thailand",Bangkok,Sathon
277,Baan Siri Sathorn,Sathon Bangkok,,2003.0,2.0,8.0,169.0,,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,13.72062187106645,100.5211886928716,"3 Si Wiang, Silom, Bang Rak, Bangkok 10500, Thailand",Bangkok,Sathon
278,Baan Siri Silom,Bang Rak Bangkok,,2006.0,1.0,25.0,137.0,45.0,1,1,0,0,1,0,0,1,0,1,0,1,1,0,1,1,0,0,1,0,13.720620732432392,100.5211900259578,"3 Si Wiang, Silom, Bang Rak, Bangkok 10500, Thailand",Bangkok,Bang Rak
279,Baan Siri Sukhumvit 10,Khlong Toei Bangkok,,2005.0,2.0,8.0,118.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.736989832432393,100.5567620259578,"16 Sukhumvit 10 Alley, Khlong Toei, Bangkok 10110, Thailand",Bangkok,Khlong Toei
280,Baan Siri Sukhumvit 13,Watthana Bangkok,,2004.0,1.0,8.0,73.0,,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,13.747488232432392,100.5583734259578,"ซอย บ้านสิริสุขุมวิทซอย 13 Soi Pha Suk, Khlong Toei Nuea, Watthana, Bangkok 10110, Thailand",Bangkok,Watthana
281,Baan Siriyenakat,Sathon Bangkok,,2005.0,1.0,8.0,79.0,35.0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,13.72619277106645,100.5679393928716,"39 Sukhumvit 24 Alley, Khlong Tan, Khlong Toei, Bangkok 10110, Thailand",Bangkok,Sathon
