unit_type_id,project_id,project_name,unit_type
2429,1167,Life One Wireless,1 Bedroom (35.0 - 45.0 sq.m.)
2430,1167,Life One Wireless,Studio (24.0 - 28.0 sq.m.)
2431,1168,Life Phahon - Ladprao,No information
2432,1169,Life Pinklao,1 Bedroom (26.0 - 35.0 sq.m.)
2433,1169,Life Pinklao,2 Bedrooms (50.0 - 60.50 sq.m.)
2434,1170,Life Rama 4 - Asoke,1 Bedroom Plus (35.0 - 38.0 sq.m.)
2435,1170,Life Rama 4 - Asoke,2 Bedroom (47.0 - 75.0 sq.m.)
2436,1170,Life Rama 4 - Asoke,1 Bedroom (26.50 - 30.0 sq.m.)
2437,1171,Life Ratchadapisek,2 Bedroom (45.0 - 65.0 sq.m.)
2438,1171,Life Ratchadapisek,1 Bedroom (31.0 - 38.0 sq.m.)
2439,1172,Life Sathorn Sierra,2 Bedrooms (57.50 sq.m.)
2440,1172,Life Sathorn Sierra,1 Bedroom Plus (35.0 - 39.0 sq.m.)
2441,1172,Life Sathorn Sierra,1 Bedroom (32.0 - 34.0 sq.m.)
2442,1172,Life Sathorn Sierra,Studio (28.0 sq.m.)
2443,1173,Life Sukhumvit 48,2 Bedroom (47.0 - 60.0 sq.m.)
2444,1173,Life Sukhumvit 48,1 Bedroom Plus (38.0 - 40.0 sq.m.)
2445,1173,Life Sukhumvit 48,1 Bedroom (30.0 - 33.0 sq.m.)
2446,1174,Life Sukhumvit 62,Studio (25.0 sq.m.)
2447,1174,Life Sukhumvit 62,1 Bedroom  (30.0 - 45.0 sq.m.)
2448,1174,Life Sukhumvit 62,2 Bedroom (50.0 - 68.0 sq.m.)
2449,1175,Life Vela Casa,Studio (32.0 sq.m.)
2450,1175,Life Vela Casa,1 Bedroom  (44.0 sq.m.)
2451,1176,Light stage condo,No information
2452,1177,Lily House,No information
2453,1178,Liv@49,2 Bedroom (69.0 - 80.0 sq.m.)
2454,1178,Liv@49,Penthouse (140.0 - 145.0 sq.m.)
2455,1178,Liv@49,Duplex (50.0 - 119.0 sq.m.)
2456,1178,Liv@49,1 Bedroom (37.0 - 50.0 sq.m.)
2457,1178,Liv@49,3 Bedroom (92.0 - 93.0 sq.m.)
2458,1179,Liv@5,Executive 1 Bed (49.29 - 56.54 sq.m.)
2459,1179,Liv@5,Duplex (38.25 - 45.47 sq.m.)
2460,1179,Liv@5,Executive 2 Bed (76.50 sq.m.)
2461,1179,Liv@5,1 Bedroom (27.60 - 28.10 sq.m.)
2462,1179,Liv@5,2 Bedrooms (49.29 - 56.54 sq.m.)
2463,1180,Living Avenue Bangsaen,1 Bedroom (30.0 sq.m.)
2464,1181,Living Nest Ladprao 44,1 Bedroom (28.17 - 32.73 sq.m.)
2465,1181,Living Nest Ladprao 44,1 Bedroom Loft (28.17 - 29.39 sq.m.)
2466,1182,Living Nest Ramkhamhaeng,1 Bedroom (24.85 - 37.66 sq.m.)
2467,1182,Living Nest Ramkhamhaeng,Studio  (22.08 - 22.19 sq.m.)
2468,1182,Living Nest Ramkhamhaeng,2 Bedrooms (50.36 - 50.37 sq.m.)
2469,1183,Living Place Condominium,No information
2470,1184,Living Place Ladprao,No information
