place_type,place_name,link_name,num_rent,num_sale,num_avg,flag
BTS Sukhumvit Line,BTS Ratchathewi,bts-ratchathewi,1538,811,1174.5,4
MRT Blue line,MRT Lat Phrao,mrt-lat-phrao,1805,542,1173.5,4
BTS Sukhumvit Line,BTS Siam,bts-siam,1343,965,1154.0,4
University/College,Krirk University,krirk-university,1839,451,1145.0,4
Grey Line,Narathiwat Station,narathiwat-station,1371,915,1143.0,4
University/College,Thai Business Administration Technological College,thai-business-administration-technological-college,1755,516,1135.5,4
Nonthaburi,Impact Muang Thong,impact-muang-thong,1878,367,1122.5,4
Nonthaburi,Muang Thong Thanee,muang-thong-thanee,1875,366,1120.5,4
School,Sarawittaya School,sarawittaya-school,1723,516,1119.5,4
MRT Purple line,MRT Bang Son,mrt-bang-son,1773,452,1112.5,4
BTS Sukhumvit Line,BTS Sena Ruam,bts-sena-ruam,1414,736,1075.0,4
Bangkok,Phasi Charoen,phasi-charoen,1651,498,1074.5,4
SRT Light Red Line,Bang Son Station,bang-son-station,1693,451,1072.0,4
Bangkok,Sukumvit 24,sukumvit-24,1255,887,1071.0,4
MRT Orange Line,MRT Ratchathewi,mrt-ratchathewi,1341,767,1054.0,4
School,Panaya Phatthanakan,panaya-phatthanakan,1545,539,1042.0,4
BTS Sukhumvit Line,BTS Phaya Thai,bts-phaya-thai,1507,545,1026.0,4
International School,Thai-Singapore International School,thai-singapore-international-school,1623,410,1016.5,4
MRT Blue line,MRT Chatuchak Park,mrt-chatuchak-park,1662,353,1007.5,4
BTS Silom Line,BTS Bang Wa,bts-bang-wa,1505,502,1003.5,4
School,Saint Gabriel College,saint-gabriel-college,1615,390,1002.5,4
Chonburi,Wat Phra Yai,wat-phra-yai,412,1583,997.5,4
Bangkok,Bang Khen,bang-khen,1603,387,995.0,4
School,Satri Woranat School,satri-woranat-school,1535,405,970.0,4
MRT Yellow Line,MRT Ratchada,mrt-ratchada--ab2b0965,1478,448,963.0,4
MRT Purple line,MRT Phra Nang klao Bridge,mrt-phra-nang-klao-bridge,1656,219,937.5,4
Bangkok,Sukumvit 22,sukumvit-22,1035,825,930.0,4
MRT Orange Line,MRT Wat Phra Ram 9,mrt-wat-phra-ram-9,1305,531,918.0,4
School,Assumption Samutprakarn School,assumption-samutprakarn-school,1482,346,914.0,4
University/College,King Mongkut University Of Technology Thonburi,king-mongkut-university-of-technology-thonburi,1333,493,913.0,4
BTS Silom Line,BTS Wongwian Yai,bts-wongwian-yai,1301,512,906.5,4
International School,Concordian International School,concordian-international-school,1400,391,895.5,4
